src,dst
5331917298,2364770064
5372497984,2364770064
5322066783,2364770064
5063358893,2364770064
3975927245,2364770064
5262288567,2364770064
5154084070,2364770064
3558603802,2364770064
5032759942,2364770064
5332084382,2364770064
3978456357,2364770064
3612907661,2364770064
3864109310,2364770064
5015827100,2364770064
2677608995,2364770064
2910887094,2364770064
5362640294,2364770064
5312688755,2364770064
2506434215,2364770064
3518213884,2364770064
1953054864,2364770064
5121277951,2364770064
5127185893,2364770064
3457660634,2364770064
2455731440,2364770064
2906878227,2364770064
5291872335,2364770064
5228102359,2364770064
5326477957,2364770064
3639916607,2364770064
2954243325,2364770064
5331985519,2364770064
5305021616,2364770064
3900570643,2364770064
5146083784,2364770064
3173163400,2364770064
5336612154,2364770064
3254927351,2364770064
5231023249,2364770064
3972850415,2364770064
3313718051,2364770064
5210364651,2364770064
2768693961,2364770064
1564899195,2364770064
3239617560,2364770064
2173395360,2364770064
3816134830,2364770064
5035125768,2364770064
2214938197,2364770064
3262256712,2364770064
2623806357,2364770064
3004873637,2364770064
5287161189,2364770064
3833833887,2364770064
3117307821,2364770064
5228579062,2364770064
2142315615,2364770064
5318837373,2364770064
5336258681,2364770064
5332040436,2364770064
2351688925,2364770064
5036375432,2364770064
2294925452,2364770064
3891597085,2364770064
3815631187,2364770064
2206178062,2364770064
3088171973,2364770064
2413307927,2364770064
2493006911,2364770064
2187767345,2364770064
5302805613,2364770064
5126998106,2364770064
1880590387,2364770064
5060263041,2364770064
3256809384,2364770064
5251590013,2364770064
1849249235,2364770064
3744505710,5331917298
3813107541,5331917298
2441132492,5331917298
2736854544,5331917298
3860113935,5331917298
2129006005,5331917298
1905386672,5331917298
3282871064,5331917298
3046899497,5331917298
5249841496,5331917298
3927045965,5331917298
2823109451,5331917298
5350033989,5331917298
5256409702,5331917298
3206188965,5331917298
3107186635,5331917298
5285359813,5331917298
2358746483,5331917298
5316056543,5331917298
5101984732,5331917298
2910207545,5331917298
5313066618,5331917298
3297235825,5331917298
5262291092,5331917298
2824110203,5331917298
5306855348,5331917298
5145637979,5331917298
1795289253,5331917298
1974846857,5331917298
2152269932,5331917298
2556983797,5331917298
1504895400,5331917298
5133102006,5331917298
2947221197,5331917298
2665870967,5331917298
2585477223,5331917298
3524337785,5331917298
2540653755,5331917298
3079095795,5331917298
1868693014,5331917298
2409804567,5331917298
3978646791,5331917298
2671109275,5331917298
5331917298,3674232211
5331917298,3810789813
5331917298,1910085645
5331917298,2167577332
5331917298,2805285992
5331917298,2532958005
5331917298,2309681672
5331917298,3588654722
5331917298,2554021484
5331917298,2601729705
5331917298,1645647500
5331917298,2022301002
5331917298,1783876207
5331917298,3525531200
5331917298,2388573711
5331917298,2213556642
5331917298,2306427882
5331917298,2247626023
5331917298,3795359794
5331917298,3178324002
5331917298,3811133430
5331917298,1883966032
5331917298,2078031705
5331917298,2532150772
5331917298,1377941770
5331917298,1869880185
5331917298,1895472742
5331917298,2323071494
5331917298,3701674973
5331917298,2585530223
5331917298,1820589853
5331917298,2273916627
5331917298,2799473630
5331917298,2664133955
5331917298,2863260492
5331917298,3201813212
5331917298,1931920155
5331917298,3179442584
5331917298,3753353095
5331917298,1794662793
5331917298,1926178883
5331917298,3756845064
5331917298,2809535362
5331917298,1837708420
5331917298,2364770064
5331917298,2926785057
5331917298,2121051420
5331917298,3813107541
5331917298,3529123241
5331917298,1762831392
5331917298,1774173513
5331917298,1768270164
5331917298,2441132492
5331917298,1418422822
5331917298,2453013623
5331917298,2075048534
5331917298,3697789485
5331917298,1886111431
5331917298,3166315227
5331917298,2323769411
5331917298,1770721150
5331917298,2679985414
5331917298,2437976803
5331917298,2330544317
5331917298,3290215754
5331917298,2873873822
5331917298,2136634215
5331917298,2809195024
5331917298,3540923542
5331917298,2466382171
5331917298,2329354942
5331917298,1761203523
5331917298,1887371037
5331917298,2796541760
5331917298,3483579711
5331917298,1980122287
5331917298,2134787737
5331917298,2121327847
5331917298,1359670560
5331917298,2852761821
5331917298,3616819947
5331917298,2493695602
5331917298,1926218211
5331917298,2711034153
5331917298,3746810022
5331917298,1898100992
5331917298,2736854544
5331917298,1728117155
5331917298,1841738600
5331917298,3034474115
5331917298,3059037591
5331917298,2707275973
5331917298,2708351212
5331917298,3311490251
5331917298,3760035310
5331917298,2328136827
5331917298,2711011294
5331917298,1893447181
5331917298,3265086705
5331917298,2519187683
5328405165,5372497984
5359517113,5372497984
